Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
30.292,667.5501708984375,-16.977838516235352,33.126483917236328,-170.33650207519531,68.854354858398438,-31.306341171264648,2.066371962428093e-09,0.37226834893226624,0
30.296,657.00390625,4.1083970069885254,66.513267517089844,-142.9130859375,-33.679279327392578,-17.473791122436523,2.066371962428093e-09,0.28461083769798279,0
30.3,622.13555908203125,-5.1987838745117188,50.200359344482422,-160.64726257324219,-168.51754760742188,-20.851531982421875,2.066371962428093e-09,0.27687644958496094,0
30.304,608.98468017578125,-14.809577941894531,34.027587890625,-165.1734619140625,-222.24105834960938,-28.726043701171875,2.066371962428093e-09,0.077908813953399658,0
30.308,648.71795654296875,2.5928854942321777,50.307819366455078,-129.93745422363281,-191.34140014648438,-16.625555038452148,2.066371962428093e-09,-0.22345256805419922,0
30.312,690.57989501953125,7.6535558700561523,45.057994842529297,-123.87638854980469,-154.23161315917969,-7.2020707130432129,2.066371962428093e-09,-0.3539842963218689,0
30.316,725.29022216796875,-11.727521896362305,13.194768905639648,-149.19709777832031,-118.6607666015625,-17.755044937133789,2.066371962428093e-09,-0.52446049451828003,0
30.32,790.63494873046875,-10.815719604492188,16.499139785766602,-136.46891784667969,-47.522045135498047,-20.230083465576172,2.066371962428093e-09,-0.69777953624725342,0
30.324,850.21014404296875,9.1444015502929688,43.515789031982422,-105.9718017578125,31.014505386352539,-6.2241463661193848,2.066371962428093e-09,-0.76864850521087646,0
30.328,850.7503662109375,3.9475505352020264,36.99346923828125,-119.8084716796875,70.739524841308594,-7.1044683456420898,2.066371962428093e-09,-0.96729594469070435,0
30.332,823.4783935546875,-10.585452079772949,26.543422698974609,-135.49528503417969,90.077781677246094,-20.899972915649414,2.066371962428093e-09,-1.0913747549057007,0
30.336,812.8402099609375,6.0580077171325684,57.460216522216797,-103.40167236328125,133.20243835449219,-14.152013778686523,2.066371962428093e-09,-0.83246582746505737,0
30.34,793.5335693359375,22.363449096679688,80.618980407714844,-85.5799560546875,176.85356140136719,-0.80153673887252808,2.066371962428093e-09,-0.40721288323402405,0
30.344,748.93865966796875,7.892549991607666,67.460739135742188,-110.474853515625,174.63095092773438,-9.4369583129882812,2.066371962428093e-09,-0.15373978018760681,0
30.348,724.68426513671875,6.943239688873291,79.149330139160156,-103.58925628662109,163.45173645019531,-14.420515060424805,2.066371962428093e-09,-0.10725419223308563,0
30.352,723.60479736328125,31.694509506225586,116.19417572021484,-64.535377502441406,182.046875,2.1158785820007324,2.066371962428093e-09,-0.34336742758750916,0
30.356,697.35302734375,30.195898056030273,107.03470611572266,-69.463851928710938,183.93856811523438,5.1094346046447754,2.066371962428093e-09,-0.64258337020874023,0
30.36,667.05389404296875,6.2652168273925781,68.040931701660156,-94.384872436523438,132.57014465332031,-12.291059494018555,2.066371962428093e-09,-0.79371756315231323,0
30.364,692.8699951171875,10.704379081726074,64.44903564453125,-73.065452575683594,69.941635131835938,-10.979421615600586,2.066371962428093e-09,-0.8157505989074707,0
30.368,755.6923828125,23.958465576171875,63.859771728515625,-52.50787353515625,41.749542236328125,4.1857590675354004,2.066371962428093e-09,-0.69868725538253784,0
30.372,815.32763671875,6.4420485496520996,24.815822601318359,-78.21258544921875,50.34051513671875,-1.7891193628311157,2.066371962428093e-09,-0.53046578168869019,0
30.376,887.30792236328125,-5.3596892356872559,4.0042905807495117,-84.100341796875,104.22403717041016,-11.173405647277832,2.066371962428093e-09,-0.091952607035636902,0
30.38,967.81298828125,14.548154830932617,26.943389892578125,-48.985401153564453,198.3453369140625,2.472144603729248,2.066371962428093e-09,0.45092830061912537,0
30.384,1008.65966796875,19.007486343383789,29.611684799194336,-48.530792236328125,254.03012084960938,9.2691936492919922,2.066371962428093e-09,0.64257651567459106,0
