location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"[0.2, -0.2]",None,36,36,0,None,1,0,36,36,36,89.4803297999315,,,,,,,,,,,,,89.47312749968842,89.4803297999315,89.4803297999315,89.4803297999315,90.4812321998179,90.47272529965267,91.47309339977801,91.46498699998483,None,1,None,2123855.9269705,91.47309339977801,91.47309339977801,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0.2]",None,37,37,0,None,1,0,37,37,37,91.47309339977801,,,,,,,,,,,,,91.46593669988215,91.48117219982669,91.48117219982669,91.48117219982669,92.48230629973114,92.47370909992605,93.47520669968799,93.46655659982935,None,1,1.0,2123857.9197795,93.47520669968799,93.47520669968799,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, -0.2]",space,38,38,0,None,0,0,38,38,38,93.47520669968799,,,,,,,,,,,,,93.46721709985286,93.48296169983223,93.48296169983223,93.48296169983223,94.48392129968852,94.47567499987781,95.47716079978272,95.46803209977224,None,0,None,2123859.9210834,95.47716079978272,95.47716079978272,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[-0.2, 0.2]",None,39,39,0,None,1,0,39,39,39,95.47716079978272,,,,,,,,,,,,,95.46903839986771,95.48466169973835,95.48466169973835,95.48466169973835,96.4857429000549,96.47728269966319,97.48048609960824,97.47247709985822,None,1,0.0,2123861.9228709,97.48048609960824,97.48048609960824,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, -0.2]",None,40,40,0,None,1,0,40,40,40,97.48048609960824,,,,,,,,,,,,,97.4734714999795,97.48048609960824,97.48048609960824,97.48048609960824,98.47866719961166,98.47866719961166,99.47279909998178,99.46435259981081,None,1,None,2123863.9272841,99.47279909998178,99.47279909998178,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[-0.2, 0.2]",space,41,41,0,None,0,0,41,41,41,99.47279909998178,,,,,,,,,,,,,99.46532489964738,99.48015900002792,99.48015900002792,99.48015900002792,100.47991429967806,100.47265479993075,101.47540949983522,101.46741049969569,None,0,None,2123865.9190608,101.47540949983522,101.47540949983522,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0]",None,42,42,0,None,1,0,42,42,42,101.47540949983522,,,,,,,,,,,,,101.4681212999858,101.4824799997732,101.4824799997732,101.4824799997732,102.48207199992612,102.4736977997236,103.47472779965028,103.46688229963183,None,1,None,2123867.9219666,103.47472779965028,103.47472779965028,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0]",None,43,43,0,None,1,0,43,43,43,103.47472779965028,,,,,,,,,,,,,103.46757169999182,103.48401959985495,103.48401959985495,103.48401959985495,104.48430609982461,104.4760384997353,105.47491679992527,105.46737940004095,None,1,None,2123869.9214167,105.47491679992527,105.47491679992527,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0]",space,44,44,0,None,0,0,44,44,44,105.47491679992527,,,,,,,,,,,,,105.46819050004706,105.48272139998153,105.48272139998153,105.48272139998153,106.48065180005506,106.47419119998813,107.47847539978102,107.47029259987175,None,0,None,2123871.9220201,107.47847539978102,107.47847539978102,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0.2]",None,45,45,0,None,1,0,45,45,45,107.47847539978102,,,,,,,,,,,,,107.4709765999578,107.48652699962258,107.48652699962258,107.48652699962258,108.51634449977428,108.4788958998397,,109.49702159967273,None,1,None,2123873.9248109,109.48028899962083,109.48028899962083,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0.2]",None,46,46,0,None,1,0,46,46,46,109.50514360005036,,,,,,,,,,,,,109.49772059964016,109.50514360005036,109.50514360005036,109.50514360005036,110.48331169970334,110.5018003997393,111.48148630000651,111.49111439986154,None,1,None,2123875.9515174,,,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0]",None,47,47,0,,,0,47,47,47,111.49990249983966,,,,,,,,,,,,,111.49224019981921,111.49990249983966,111.49990249983966,111.49990249983966,112.48522779997438,112.49341859994456,,,,,,,,,,,,,,,,,
