location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"[0, 0.2]",None,32,32,0,None,1,0,32,32,32,79.81317079998553,,,,,,,,,,,,,,79.80581500008702,79.8214883999899,79.8214883999899,79.8214883999899,80.8219612003304,80.81329140020534,81.81334810005501,81.8052146001719,None,1,None,2563004.9177513,81.81334810005501,81.81334810005501,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0.2]",None,33,33,0,None,1,0,33,33,33,81.81334810005501,,,,,,,,,,,,,,81.80576190026477,81.82153249997646,81.82153249997646,81.82153249997646,82.82151840021834,82.81297620013356,83.8130560000427,83.80530600016937,None,1,None,2563006.917711,83.8130560000427,83.8130560000427,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, 0]",None,34,34,0,None,1,0,34,34,34,83.8130560000427,,,,,,,,,,,,,,83.80597630003467,83.82162860035896,83.82162860035896,83.82162860035896,84.82159390021116,84.81315440032631,85.81299180025235,85.80571820028126,None,1,None,2563008.9179172,85.81299180025235,85.81299180025235,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, -0.2]",None,35,35,0,None,1,0,35,35,35,85.81299180025235,,,,,,,,,,,,,,85.80636310018599,85.81299180025235,85.81299180025235,85.81299180025235,86.82185720000416,86.80497199995443,87.81328830029815,87.80543970037252,None,1,None,2563010.9182873,87.80508860014379,87.80508860014379,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, -0.2]",None,36,36,0,None,1,0,36,36,36,87.81328830029815,,,,,,,,,,,,,,87.80599940009415,87.82168180029839,87.82168180029839,87.82168180029839,88.82166270026937,88.81324300030246,89.81310610007495,89.80565200001001,None,1,None,2563012.9179356,89.81310610007495,89.81310610007495,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, 0.2]",None,37,37,0,None,1,0,37,37,37,89.81310610007495,,,,,,,,,,,,,,89.80625860020518,89.81310610007495,89.81310610007495,89.81310610007495,90.82166550029069,90.8050550003536,91.81306109996513,91.80564120039344,None,1,None,2563014.9181969,91.80527390027419,91.80527390027419,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, -0.2]",space,38,38,0,None,0,0,38,38,38,91.81306109996513,,,,,,,,,,,,,,91.80629099998623,91.81306109996513,91.81306109996513,91.81306109996513,92.82184870028868,92.80515959998593,93.81334410002455,93.80548340035602,None,0,None,2563016.9182245,93.805041000247,93.805041000247,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[-0.2, 0.2]",None,39,39,0,None,1,0,39,39,39,93.81334410002455,,,,,,,,,,,,,,93.80604820000008,93.82169350003824,93.82169350003824,93.82169350003824,94.81325250025839,94.81325250025839,95.80528970016167,95.80574520025402,None,1,None,2563018.9180021,95.81318520009518,95.81318520009518,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, -0.2]",None,40,40,0,None,1,0,40,40,40,95.81318520009518,,,,,,,,,,,,,,95.80630630021915,95.81318520009518,95.81318520009518,95.81318520009518,96.82169080013409,96.80492100026459,97.81326330034062,97.80577490013093,None,1,None,2563020.9182574,97.80536270001903,97.80536270001903,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[-0.2, 0.2]",space,41,41,0,None,0,0,41,41,41,97.81326330034062,,,,,,,,,,,,,,97.80636369995773,97.81326330034062,97.81326330034062,97.81326330034062,98.8218916002661,98.80501830019057,99.81347020016983,99.80542570026591,None,0,None,2563022.9183096,99.805024900008,99.805024900008,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0]",None,42,42,0,None,1,0,42,42,42,99.81347020016983,,,,,,,,,,,,,,99.80656530009583,99.82202620012686,99.82202620012686,99.82202620012686,100.82182490034029,100.81368770031258,101.81343000009656,101.80558690009639,None,1,None,2563024.9185019,101.81343000009656,101.81343000009656,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, 0]",None,43,43,0,None,1,0,43,43,43,101.81343000009656,,,,,,,,,,,,,,101.80612760037184,101.81343000009656,101.81343000009656,101.81343000009656,102.82191290007904,102.80520200030878,103.81364380009472,103.80550280027092,None,1,None,2563026.9180734,103.8051649001427,103.8051649001427,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0]",space,44,44,0,None,0,0,44,44,44,103.81364380009472,,,,,,,,,,,,,,103.8059885003604,103.82198900030926,103.82198900030926,103.82198900030926,104.81434349995106,104.81434349995106,105.80533900018781,105.8057299000211,None,0,None,2563028.917945,105.81343500036746,105.81343500036746,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, 0.2]",None,45,45,0,None,1,0,45,45,45,105.81343500036746,,,,,,,,,,,,,,105.80644890014082,105.81343500036746,105.81343500036746,105.81343500036746,106.81369400024414,106.80532520031556,107.80581400031224,107.7979856999591,None,1,None,2563030.9183832,107.80581400031224,107.80581400031224,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0.2]",None,46,46,0,None,1,0,46,46,46,107.80581400031224,,,,,,,,,,,,,,107.79858830012381,107.81397450016811,107.81397450016811,107.81397450016811,108.81369240023196,108.80545009998605,109.80532820010558,109.797535400372,None,1,None,2563032.9105224,109.80532820010558,109.80532820010558,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
