Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07
73.008,-84596,34.744915008544922,1207.208984375,3229.775390625,772.11846923828125,908.68341064453125,0.048132538795471191
73.012,-83523.6484375,31.363784790039062,983.68701171875,3073.81201171875,734.806640625,908.68341064453125,0.15275499224662781
73.016,-81843.859375,27.911773681640625,779.06719970703125,2943.76708984375,703.69549560546875,908.68341064453125,0.20549127459526062
73.02,-82937.6015625,24.473785400390625,598.9661865234375,2841.967529296875,679.34149169921875,908.68341064453125,0.20071928203105927
73.024,-84517.9375,21.124095916748047,446.22744750976562,2768.46484375,661.75714111328125,908.68341064453125,0.15067443251609802
73.028,-83815.6640625,17.924968719482422,321.30453491210938,2721.06591796875,650.41766357421875,908.68341064453125,0.091539539396762848
73.032,-81962.046875,14.925741195678711,222.77775573730469,2695.546142578125,644.3123779296875,908.68341064453125,0.059361718595027924
73.036,-82628.984375,12.162345886230469,147.92265319824219,2686.029296875,642.03564453125,642.03564453125,0.061805088073015213
73.04,-84347.484375,9.6573514938354492,93.264442443847656,2685.50341796875,641.90985107421875,642.03564453125,0.086791254580020905
73.044,-84071.6640625,7.4204025268554688,55.062370300292969,2686.409423828125,642.12664794921875,642.03564453125,0.11700830608606339
73.048,-82173.1875,5.4490890502929688,29.692571640014648,2681.266357421875,640.89630126953125,642.03564453125,0.13794426620006561
73.052,-82330.7109375,3.7301521301269531,13.914034843444824,2663.272216796875,636.59149169921875,642.03564453125,0.14276492595672607
73.056,-84116.25,2.2409851551055908,5.0220146179199219,2626.82568359375,627.8720703125,642.03564453125,0.1223708763718605
73.06,-84280.109375,0.95136862993240356,0.90510225296020508,2567.939453125,613.7845458984375,642.03564453125,0.049718897789716721
73.064,-82449.4765625,-0.17463004589080811,0.030495652928948402,2484.50146484375,593.8232421875,642.03564453125,-0.094369553029537201
73.068,-82072.625,-1.1766802072525024,1.3845764398574829,2376.380859375,567.95703125,642.03564453125,-0.24678099155426025
73.072,-83838.5859375,-2.0961849689483643,4.3939919471740723,2245.36865234375,536.61456298828125,642.03564453125,-0.28420233726501465
73.076,-84429.4140625,-2.9743194580078125,8.8465776443481445,2094.96875,500.63369750976562,500.63369750976562,-0.16330797970294952
73.08,-82771.375,-3.8501720428466797,14.823824882507324,1930.067138671875,461.18353271484375,500.63369750976562,0.040087301284074783
73.084,-81877.375,-4.7590513229370117,22.648569107055664,1756.50390625,419.66122436523438,500.63369750976562,0.21131344139575958
73.088,-83521.0859375,-5.7310080528259277,32.844451904296875,1580.6015625,377.57928466796875,500.63369750976562,0.26360496878623962
73.092,-84517.1484375,-6.7896018028259277,46.09869384765625,1408.6773681640625,336.44912719726562,500.63369750976562,0.18008384108543396
73.096,-83103.9609375,-7.9509544372558594,63.217674255371094,1246.58984375,297.67221069335938,500.63369750976562,0.011588610708713531
73.1,-81766.421875,-9.2230987548828125,85.0655517578125,1099.3486328125,262.447021484375,500.63369750976562,-0.16522471606731415
73.104,-83200.171875,-10.605634689331055,112.47947692871094,970.81524658203125,231.69743347167969,500.63369750976562,-0.28742489218711853
73.108,-84544.421875,-12.08971118927002,146.16110229492188,863.51171875,206.02670288085938,500.63369750976562,-0.33237069845199585
73.112,-83463.25,-13.658315658569336,186.54960632324219,778.54705810546875,185.70027160644531,500.63369750976562,-0.30731239914894104
73.116,-81792.671875,-15.286872863769531,233.6884765625,715.6522216796875,170.65364074707031,170.65364074707031,-0.24217565357685089
73.12,-82905.2265625,-16.944122314453125,287.103271484375,673.3162841796875,160.52543640136719,170.65364074707031,-0.20178472995758057
73.124,-84477.8125,-18.593276977539062,345.7099609375,649.00146484375,154.70846557617188,170.65364074707031,-0.23634576797485352
73.128,-83763.625,-20.193414688110352,407.77401733398438,639.41339111328125,152.4146728515625,170.65364074707031,-0.32030385732650757
73.132,-81914.6015625,-21.700942993164062,470.930908203125,640.80059814453125,152.74655151367188,170.65364074707031,-0.38764157891273499
73.136,-82603.125,-23.071161270141602,532.27850341796875,649.25555419921875,154.76925659179688,170.65364074707031,-0.40363416075706482
73.14,-84318.9140625,-24.259698867797852,588.53302001953125,660.99542236328125,157.57785034179688,170.65364074707031,-0.37945714592933655
73.144,-84035.25,-25.223897933959961,636.2449951171875,672.60125732421875,160.3543701171875,170.65364074707031,-0.3366447389125824
73.148,-82128.3515625,-25.924068450927734,672.05731201171875,681.20263671875,162.412109375,162.44137573242188,-0.27321648597717285
73.152,-82316.109375,-26.324626922607422,692.98602294921875,684.60040283203125,163.2249755859375,162.44137573242188,-0.18668456375598907
73.156,-84101.4765625,-26.395162582397461,696.70458984375,681.32501220703125,162.44137573242188,162.44137573242188,-0.11880562454462051
73.16,-84273.1640625,-26.111343383789062,681.80224609375,670.6351318359375,159.88400268554688,162.44137573242188,-0.12603895366191864
73.164,-82451.25,-25.455739974975586,647.99462890625,652.46502685546875,155.53707885742188,162.44137573242188,-0.21565811336040497
73.168,-82095.796875,-24.418447494506836,596.26055908203125,627.33056640625,149.5240478515625,162.44137573242188,-0.3383631706237793
73.172,-83856.5625,-22.997585296630859,528.88897705078125,596.2098388671875,142.07890319824219,162.44137573242188,-0.42429608106613159
73.176,-84453.734375,-21.199630737304688,449.42431640625,560.4095458984375,133.51425170898438,162.44137573242188,-0.42832469940185547
73.18,-82788.421875,-19.039545059204102,362.50430297851562,521.43084716796875,124.18919372558594,162.44137573242188,-0.37106013298034668
73.184,-81916.7265625,-16.540704727172852,273.59490966796875,480.844482421875,114.47953796386719,162.44137573242188,-0.33088493347167969
73.188,-83577.421875,-13.734586715698242,188.63887023925781,440.18466186523438,104.75230407714844,162.44137573242188,-0.36182785034179688
73.192,-84566.1015625,-10.660161972045898,113.63906097412109,400.86322021484375,95.345260620117188,86.5526123046875,-0.41772246360778809
73.196,-83147.75,-7.3630318641662598,54.2142333984375,364.10995483398438,86.5526123046875,86.5526123046875,-0.39649790525436401
73.2,-81831.296875,-3.8943698406219482,15.166117668151855,330.935546875,78.61614990234375,86.5526123046875,-0.26363915205001831
