Time, Ch01, Ch02, Ch03, Ch04, Ch05
15.892,-33190.65625,-1.2618316411972046,1.5922191143035889,0.38388633728027344,0.35943883657455444
15.896,-32700.015625,-1.3171590566635132,1.734907865524292,0.39260587096214294,0.35943883657455444
15.9,-32351.6875,-1.3490597009658813,1.8199621438980103,0.40283003449440002,0.35943883657455444
15.904,-32516.005859375,-1.3568267822265625,1.8409789800643921,0.41450437903404236,0.35943883657455444
15.908,-33180.23828125,-1.3402124643325806,1.7961692810058594,0.42735904455184937,0.45459404587745667
15.912,-32790.94921875,-1.2994709014892578,1.6886247396469116,0.44092631340026855,0.45459404587745667
15.916,-32371.59375,-1.2354284524917603,1.5262836217880249,0.45459404587745667,0.45459404587745667
15.92,-32442.59375,-1.1492999792098999,1.3208904266357422,0.46767085790634155,0.45459404587745667
15.924,-33127.64453125,-1.0425994396209717,1.0870136022567749,0.47946786880493164,0.45459404587745667
15.928,-32877.28125,-0.91726720333099365,0.84137904644012451,0.48939889669418335,0.45459404587745667
15.932,-32415.75,-0.77558743953704834,0.60153579711914062,0.49706602096557617,0.45459404587745667
15.936,-32393.38671875,-0.61994713544845581,0.38433447480201721,0.50231963396072388,0.45459404587745667
15.94,-33032.7734375,-0.45288753509521484,0.20510713756084442,0.50530564785003662,0.45459404587745667
15.944,-32970.07421875,-0.27725362777709961,0.076869584619998932,0.50648993253707886,0.45459404587745667
15.948,-32477.80859375,-0.096021875739097595,0.0092202005907893181,0.50663918256759644,0.45459404587745667
15.952,-32359.83984375,0.08789198100566864,0.0077250003814697266,0.5067707896232605,0.45459404587745667
15.956,-32905.10546875,0.27153581380844116,0.073731698095798492,0.50807541608810425,0.50807541608810425
15.96,-33062.10546875,0.45188984274864197,0.20420441031455994,0.51181334257125854,0.50807541608810425
15.964,-32549.646484375,0.62605792284011841,0.39194855093955994,0.51919585466384888,0.50807541608810425
15.968,-32339.958984375,0.79131984710693359,0.62618714570999146,0.53126591444015503,0.50807541608810425
15.972,-32751.349609375,0.94507580995559692,0.89316827058792114,0.54878693819046021,0.50807541608810425
15.976,-33155.80078125,1.0849854946136475,1.1771934032440186,0.57215774059295654,0.50807541608810425
15.98,-32632.54296875,1.209032416343689,1.4617593288421631,0.60136252641677856,0.50807541608810425
15.984,-32333.162109375,1.315312385559082,1.7300466299057007,0.63594722747802734,0.50807541608810425
15.988,-32619.21484375,1.4020328521728516,1.9656960964202881,0.67503613233566284,0.50807541608810425
15.992,-33192.76171875,1.4678077697753906,2.1544597148895264,0.71740150451660156,0.76157301664352417
15.996,-32706.599609375,1.5117263793945312,2.2853164672851562,0.76157301664352417,0.76157301664352417
16,-32344.4375,1.5332002639770508,2.3507030010223389,0.80596143007278442,0.76157301664352417
16.004,-32517.724609375,1.5320158004760742,2.3470721244812012,0.84899729490280151,0.76157301664352417
16.008,-33180.26171875,1.5084388256072998,2.2753880023956299,0.88926684856414795,0.76157301664352417
16.012,-32789.4921875,1.463096022605896,2.1406497955322266,0.92561864852905273,0.76157301664352417
16.016,-32373.478515625,1.3969199657440186,1.9513852596282959,0.95723885297775269,0.76157301664352417
16.02,-32449.69921875,1.3112449645996094,1.7193632125854492,0.98368901014328003,0.76157301664352417
16.024,-33127.1875,1.207680344581604,1.4584919214248657,1.0049005746841431,0.76157301664352417
16.028,-32876.0859375,1.0878587961196899,1.1834367513656616,1.0211277008056641,0.76157301664352417
16.032,-32428.697265625,0.95351392030715942,0.90918874740600586,1.0328830480575562,0.76157301664352417
16.036,-32389.572265625,0.80663949251174927,0.65066719055175781,1.0408529043197632,1.0408529043197632
16.04,-33026.48828125,0.64932805299758911,0.42162695527076721,1.0458106994628906,1.0408529043197632
16.044,-32962.5625,0.48364099860191345,0.23390860855579376,1.0485343933105469,1.0408529043197632
16.048,-32490.015625,0.31180524826049805,0.097222506999969482,1.0497430562973022,1.0408529043197632
16.052,-32354.693359375,0.13627979159355164,0.018572181463241577,1.0500485897064209,1.0408529043197632
16.056,-32892.20703125,-0.040483493357896805,0.0016389131778851151,1.0499280691146851,1.0408529043197632
16.06,-33058.55078125,-0.21609838306903839,0.046698510646820068,1.0497153997421265,1.0408529043197632
16.064,-32563.666015625,-0.38811072707176208,0.15062995254993439,1.0496139526367188,1.0408529043197632
16.068,-32341.88671875,-0.554129958152771,0.30706000328063965,1.0497239828109741,1.0408529043197632
16.072,-32736.068359375,-0.71202486753463745,0.50697934627532959,1.0500822067260742,1.0408529043197632
16.076,-33156.4921875,-0.85979002714157104,0.7392389178276062,1.0507078170776367,1.0507078170776367
16.08,-32645.37109375,-0.99550855159759521,0.99103724956512451,1.0516443252563477,1.0507078170776367
16.084,-32333.28125,-1.1176564693450928,1.2491559982299805,1.0529983043670654,1.0507078170776367
16.088,-32603.52734375,-1.2251222133636475,1.5009244680404663,1.0549592971801758,1.0507078170776367
16.092,-33200.6484375,-1.3168672323226929,1.7341392040252686,1.0577977895736694,1.0507078170776367
16.096,-32720.474609375,-1.391924262046814,1.937453031539917,1.0618486404418945,1.0507078170776367
16.1,-32347.5625,-1.4496514797210693,2.1014893054962158,1.067479133605957,1.0507078170776367
16.104,-32507.400390625,-1.4896427392959595,2.2190353870391846,1.0750404596328735,1.0507078170776367
16.108,-33183.79296875,-1.5115315914154053,2.2847278118133545,1.0848115682601929,1.0507078170776367
16.112,-32795.5,-1.5150966644287109,2.295518159866333,1.0969493389129639,1.0507078170776367
16.116,-32375.650390625,-1.5002877712249756,2.2508633136749268,1.1114410161972046,1.1114410161972046
16.12,-32431.60546875,-1.4670118093490601,2.1521236896514893,1.1280657052993774,1.1114410161972046
16.124,-33125.59375,-1.4151691198348999,2.0027039051055908,1.1463794708251953,1.1114410161972046
16.128,-32876.8046875,-1.3449230194091797,1.8088178634643555,1.1657283306121826,1.1114410161972046
16.132,-32422.166015625,-1.2566362619400024,1.5791347026824951,1.185280442237854,1.1114410161972046
16.136,-32382.32421875,-1.1506621837615967,1.3240236043930054,1.2040739059448242,1.1114410161972046
16.14,-33026.5546875,-1.0275447368621826,1.0558481216430664,1.2210890054702759,1.1114410161972046
16.144,-32964.7109375,-0.88829201459884644,0.78906267881393433,1.2353328466415405,1.1114410161972046
16.148,-32481.71875,-0.73422783613204956,0.53909051418304443,1.2459303140640259,1.253737211227417
16.152,-32357.458984375,-0.56683510541915894,0.32130202651023865,1.2522016763687134,1.253737211227417
16.156,-32881.36328125,-0.38796281814575195,0.15051515400409698,1.253737211227417,1.253737211227417
16.16,-33061.125,-0.19990408420562744,0.039961647242307663,1.2504526376724243,1.253737211227417
16.164,-32552.962890625,-0.0051866262219846249,2.6901088858721778e-05,1.2426141500473022,1.253737211227417
16.168,-32343.056640625,0.19342195987701416,0.037412058562040329,1.2308385372161865,1.253737211227417
16.172,-32718.73046875,0.39279142022132874,0.15428511798381805,1.216060996055603,1.253737211227417
16.176,-33158.66796875,0.58962345123291016,0.3476557731628418,1.1994701623916626,1.253737211227417
