Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
19.984,4.8470306396484375,2.066371962428093e-09,4.3681693077087402,-1.2829933166503906,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.78117531538009644,0
19.988,13.302821159362793,2.066371962428093e-09,12.293673515319824,7.7022843360900879,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.48737224936485291,0
19.992,-6.5822219848632812,2.066371962428093e-09,-5.0616669654846191,0.65949428081512451,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.40451139211654663,0
19.996,-11.10602855682373,2.066371962428093e-09,-8.480036735534668,-6.5673980712890625,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-1.1234033107757568,0
20,7.5637764930725098,2.066371962428093e-09,8.9717559814453125,2.8418338298797607,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-1.0587011575698853,0
20.004,1.7919149398803711,2.066371962428093e-09,4.0734090805053711,5.2556991577148438,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.51043015718460083,0
20.008,-16.822149276733398,2.066371962428093e-09,-12.868927001953125,-6.5393271446228027,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.084725260734558105,0
20.012,-4.8716964721679688,2.066371962428093e-09,-2.2835369110107422,-5.803034782409668,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.4180547297000885,0
20.016,8.0481414794921875,2.066371962428093e-09,9.0265121459960938,3.4706645011901855,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,1.1319640874862671,0
20.02,-8.0745420455932617,2.066371962428093e-09,-5.7273321151733398,-1.5915069580078125,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,1.0842729806900024,0
20.024,-13.28864860534668,2.066371962428093e-09,-10.243517875671387,-8.0799312591552734,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.27828067541122437,0
20.028,5.77886962890625,2.066371962428093e-09,7.3212051391601562,0.40295714139938354,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.036552034318447113,0
20.032,5.2750082015991211,2.066371962428093e-09,7.3260359764099121,5.0852537155151367,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.040033727884292603,0
20.036,-12.586973190307617,2.066371962428093e-09,-8.7304744720458984,-4.0619316101074219,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.27858847379684448,0
20.04,-5.6113028526306152,2.066371962428093e-09,-2.6985366344451904,-5.2300200462341309,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.21384160220623016,0
20.044,9.966705322265625,2.066371962428093e-09,10.944455146789551,5.1409530639648438,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.98760777711868286,0
20.048,-1.8366295099258423,2.066371962428093e-09,-0.47210201621055603,3.6556410789489746,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,1.7353754043579102,0
20.052,-10.661191940307617,2.066371962428093e-09,-8.7254714965820312,-5.1804184913635254,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,1.1867040395736694,0
20.056,7.6672873497009277,2.066371962428093e-09,8.1978483200073242,0.34427627921104431,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.8703187108039856,0
20.06,10.892483711242676,2.066371962428093e-09,10.756176948547363,6.4436392784118652,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.61364763975143433,0
20.064,-9.8181333541870117,2.066371962428093e-09,-8.4837827682495117,-2.4522011280059814,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.34227117896080017,0
20.068,-8.3288402557373047,2.066371962428093e-09,-7.1769165992736816,-5.4457030296325684,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.50011289119720459,0
20.072,8.448023796081543,2.066371962428093e-09,7.4226899147033691,4.7399816513061523,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.16498363018035889,0
20.076,-0.36434540152549744,2.066371962428093e-09,-1.1132609844207764,4.9154067039489746,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.021877896040678024,0
20.08,-12.555091857910156,2.066371962428093e-09,-12.390464782714844,-4.3567581176757812,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.68621814250946045,0
20.084,3.7243800163269043,2.066371962428093e-09,1.8520133495330811,-0.54344445466995239,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.69035357236862183,0
20.088,13.243680000305176,2.066371962428093e-09,10.347822189331055,7.9211692810058594,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.33398333191871643,0
20.092,-5.3950438499450684,2.066371962428093e-09,-6.5684089660644531,0.45029959082603455,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.27132478356361389,0
20.096,-7.0610594749450684,2.066371962428093e-09,-8.1738719940185547,-5.9051308631896973,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.13202424347400665,0
