EEG_time, Ch01, Ch02, Ch03, Ch04, Ch05,timestamp_rel,LIFU_LSL_time,marker
2.928,23979.427734375,-0.7750061750411987,0.6006345748901367,18.03095054626465,22.92695617675781,,,
2.932,23998.333984375,-0.8761630058288574,0.7676615715026855,17.865402221679688,22.92695617675781,,,
2.936,24052.791015625,-0.9595506787300108,0.9207375645637512,17.771831512451172,22.92695617675781,,,
2.94,24059.84375,-1.0232998132705688,1.0471426248550415,17.731975555419922,22.92695617675781,,,
2.944,23987.177734375,-1.0655018091201782,1.1352939605712893,17.72629737854004,22.92695617675781,,,
2.948,23990.037109375,-1.084345459938049,1.1758050918579102,17.735097885131836,22.92695617675781,,,
2.952,24011.68359375,-1.078465461730957,1.1630876064300537,17.73952293395996,22.92695617675781,,,
2.956,24035.98046875,-1.047472357749939,1.097198247909546,17.72237205505371,22.92695617675781,,,
2.96,23974.181640625,-0.9923233985900878,0.9847057461738586,17.668758392333984,22.92695617675781,,,
2.964,23948.791015625,-0.9154123067855836,0.8379796743392944,17.566553115844727,22.92695617675781,,,
2.968,24005.69921875,-0.8205621838569641,0.6733223795890808,17.40664291381836,22.92695617675781,,,
2.972,24041.869140625,-0.7129070162773132,0.5082364082336425,17.18308448791504,22.92695617675781,,,
2.976,23986.818359375,-0.5984972715377807,0.3581989705562591,16.8930721282959,22.92695617675781,,,
2.98,23941.447265625,-0.4838459491729736,0.2341068983078002,16.536911010742188,22.92695617675781,,,
2.984,24000.052734375,-0.375664472579956,0.141123816370964,16.117900848388672,14.556780815124512,,,
2.988,24044.515625,-0.2806029319763183,0.0787380114197731,15.642126083374023,14.556780815124512,,,
2.992,24014.259765625,-0.2047764509916305,0.0419333986937999,15.118176460266112,14.556780815124512,,,
2.996,23973.609375,-0.1532290875911712,0.0234791543334722,14.556780815124512,14.556780815124512,,,
3.0,24027.447265625,-0.1295099705457687,0.0167728327214717,13.970370292663574,14.556780815124512,,,
3.004,24073.197265625,-0.135329931974411,0.018314192071557,13.372535705566406,14.556780815124512,,,
3.008,24050.833984375,-0.1703178882598877,0.0290081854909658,12.77739429473877,14.556780815124512,,,
3.012,23972.896484375,-0.2320482432842254,0.053846389055252,12.198860168457031,14.556780815124512,,,
3.016,24019.365234375,-0.3163849413394928,0.100099429488182,11.649922370910645,14.556780815124512,,,
3.02,24072.71875,-0.4178957939147949,0.1746369153261184,11.141949653625488,14.556780815124512,,,
3.024,24063.27734375,-0.5301406979560852,0.2810491621494293,10.6841459274292,14.556780815124512,,,
3.028,23966.650390625,-0.6459965705871582,0.4173115789890289,10.283146858215332,14.556780815124512,,,
3.032,23970.69921875,-0.7582376599311828,0.574924349784851,9.942790031433104,14.556780815124512,,,
3.036,24040.009765625,-0.8602333068847656,0.740001380443573,9.664057731628418,14.556780815124512,,,
3.04,24037.412109375,-0.9464561343193054,0.8957791328430175,9.445211410522463,14.556780815124512,,,
3.044,23961.712890625,-1.0127408504486084,1.025644063949585,9.282102584838867,14.556780815124512,,,
3.048,23964.931640625,-1.0563914775848389,1.1159629821777344,9.168571472167969,14.556780815124512,,,
3.052,24033.478515625,-1.07610285282135,1.157997488975525,9.096972465515137,14.556780815124512,,,
3.056,24039.53125,-1.0717605352401731,1.1486707925796509,9.05866527557373,14.556780815124512,,,
3.06,23984.07421875,-1.0442949533462524,1.0905519723892212,9.044507026672365,14.556780815124512,,,
3.064,23961.59375,-0.995526134967804,0.9910723567008972,9.045225143432615,14.556780815124512,,,
3.068,24023.890625,-0.9278764724731444,0.860954761505127,9.051742553710936,14.556780815124512,,,
3.072,24088.62109375,-0.8440141677856445,0.7123599052429199,9.055392265319824,14.556780815124512,,,
3.076,24036.12109375,-0.7464674711227417,0.5572136640548706,9.048118591308592,14.556780815124512,,,
3.08,23989.25,-0.6372148394584655,0.4060427546501159,9.022642135620115,14.556780815124512,,,
3.084,24048.974609375,-0.5174078941345214,0.2677109241485595,8.972622871398924,14.556780815124512,,,
3.088,24078.634765625,-0.3873719274997711,0.1500570029020309,8.892866134643553,14.556780815124512,,,
3.092,24047.234375,-0.2468957901000976,0.0609575323760509,8.779568672180176,14.556780815124512,,,
3.096,23986.724609375,-0.0956246107816696,0.009144065901637,8.63049602508545,8.63049602508545,,,
3.1,24041.05859375,0.0667285546660423,0.0044527002610266,8.4451322555542,8.63049602508545,,,
3.104,24078.609375,0.2403150349855423,0.0577513165771961,8.224790573120117,8.63049602508545,,,
3.108,24050.380859375,0.4249444007873535,0.1805777251720428,7.972647666931152,8.63049602508545,,,
3.112,23951.724609375,0.61967134475708,0.3839925825595855,7.693640708923341,8.63049602508545,,,
3.116,23986.677734375,0.8223743438720703,0.6762995719909668,7.394239902496339,8.63049602508545,,,
3.12,24053.337890625,1.0295283794403076,1.0599286556243896,7.082060813903809,8.63049602508545,,,
3.124,24037.865234375,1.236214280128479,1.528225660324097,6.76537561416626,8.63049602508545,,,
3.128,23963.16796875,1.4362913370132446,2.0629324913024902,6.452560424804688,8.63049602508545,,,
3.132,23977.94921875,1.6227436065673828,2.633296489715576,6.151555538177489,8.63049602508545,,,
3.136,24049.927734375,1.788182020187378,3.1975948810577397,5.869364738464356,8.63049602508545,,,
3.14,24047.828125,1.925309181213379,3.706815242767334,5.611671447753905,8.63049602508545,,,
3.144,23976.328125,2.0272395610809326,4.109700679779053,5.382587432861328,8.63049602508545,,,
3.148,24007.296875,2.0878944396972656,4.359302520751953,5.184556484222412,8.63049602508545,,,
3.152,24077.10546875,2.10266637802124,4.421205997467041,5.018408298492432,8.63049602508545,,,
3.156,24088.505859375,2.0690360069274902,4.280909538269043,4.8835434913635245,8.63049602508545,,,
3.16,24021.724609375,1.986783623695373,3.947309017181397,4.7782087326049805,8.63049602508545,,,
3.164,23994.306640625,1.857909560203552,3.4518280029296875,4.699793338775635,8.63049602508545,,,
3.168,24067.80859375,1.6864728927612305,2.84419059753418,4.645047664642334,8.63049602508545,,,
3.172,24095.87109375,1.4783010482788086,2.185374021530152,4.610249996185304,8.63049602508545,,,
3.176,24035.98046875,1.240573525428772,1.5390228033065796,4.591318607330321,8.63049602508545,,,
3.18,23994.615234375,0.9814356565475464,0.9632160067558287,4.583881378173828,8.63049602508545,,,
3.184,24061.32421875,0.7096783518791198,0.5036433339118958,4.583300590515137,8.63049602508545,,,
3.188,24087.8125,0.4343492984771728,0.1886593103408813,4.584673404693604,8.63049602508545,,,
3.192,24014.119140625,0.1641725301742553,0.0269526187330484,4.582865715026856,8.63049602508545,,,
3.196,23962.85546875,-0.0931203141808509,0.008671392686665,4.5726165771484375,4.5726165771484375,,,
3.2,24014.712890625,-0.3312874734401702,0.1097513884305954,4.5487279891967765,4.5726165771484375,,,
3.204,24067.427734375,-0.5458254814147949,0.2979254126548767,4.506366729736328,4.5726165771484375,,,
3.208,24033.21484375,-0.7340492010116577,0.5388282537460327,4.44144344329834,4.5726165771484375,,,
3.212,23966.005859375,-0.8949707746505737,0.8009727597236633,4.351001739501953,4.5726165771484375,,,
3.216,24005.130859375,-1.0289932489395142,1.0588271617889404,4.233554840087891,4.5726165771484375,,,
3.22,24064.28125,-1.1376203298568726,1.294179916381836,4.089344024658203,4.5726165771484375,,,
3.224,24069.884765625,-1.2232303619384766,1.4962924718856812,3.920478820800781,4.5726165771484375,,,
3.228,24009.37109375,-1.2886730432510376,1.6606782674789429,3.73088264465332,4.5726165771484375,,,
3.232,24025.943359375,-1.3366492986679075,1.7866313457489014,3.526024580001831,4.5726165771484375,,,
3.236,24084.787109375,-1.369243025779724,1.874826431274414,3.312484741210937,4.5726165771484375,,,
3.24,24093.916015625,-1.3878219127655027,1.9260498285293577,3.0974171161651607,4.5726165771484375,,,
3.244,24024.703125,-1.3930984735488892,1.940723180770874,2.8879406452178955,4.5726165771484375,,,
3.248,24022.29296875,-1.3851497173309326,1.9186397790908811,2.6905593872070312,4.5726165771484375,,,
3.252,24078.134765625,-1.3634824752807615,1.8590844869613647,2.5106918811798096,4.5726165771484375,,,
3.256,24070.62109375,-1.3272918462753296,1.7617034912109375,2.3523464202880855,4.5726165771484375,,,
3.26,23992.447265625,-1.275917410850525,1.6279653310775757,2.2179450988769527,4.5726165771484375,,,
3.264,23981.16796875,-1.2093368768692017,1.4624955654144287,2.108302354812622,4.5726165771484375,,,
3.268,24035.07421875,-1.128459334373474,1.273420333862305,2.0227749347686768,4.5726165771484375,,,
3.272,24072.21875,-1.035154104232788,1.0715440511703491,1.9595277309417725,4.5726165771484375,,,
